name,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,average
185 Taxes,2020,,1054.5,,,1053,,,1073.81,,1073,,,4254.31,354.53
185 Taxes,2021,,1063.5,,,1063,,,1089.7,,1089,,,4305.2,358.77
185 Taxes,2022,,1078,,,1077,,,1083.9,,1082,,,4320.9,360.08
185 Taxes,2023,,1118,,,1117,,,1122.69,,1121,,,4478.69,373.22
185 Taxes,2024,,1157,,,1157,,,1109.51,,1109,,,4532.51,377.71
185 Taxes,2025,,1171,,,1170,,,1163.95,,1163,,,4667.95,389
AGE,2024,152.62,198.03,18.07,,,,,,,,,,368.72,30.73
Air Travel,2015,357.93,,,,,,,,,,,,357.93,29.83
All Sales,2023,,,,,,,,-65,-65,-85,-444,-60,-719,-59.92
All Sales,2024,,,-63.55,-107.89,,,-170.21,-19.73,,-85,-302.87,-38,-787.25,-65.6
All Sales,2025,,,,,-84.29,,,,,,-80,-85,-249.29,-20.77
Amazon,2018,,,,,,,,,,,89.27,,89.27,7.44
Amazon,2019,,,,,,,,,,,89.27,,89.27,7.44
Amazon,2022,,,,,,,,,,,111.87,,111.87,9.32
Apple,2015,,,,,,,,6318.96,,41.08,,,6360.04,530
Apple,2018,18.06,,,,,,,,39.55,155.92,,,213.53,17.79
Apple,2022,,292.67,,,,,,,,,,,292.67,24.39
Appliances,2015,,,,355.15,,,,,,,,,355.15,29.6
Appliances,2018,,,,6025,,3000,6395.49,1514.79,50.82,,,,16986.1,1415.51
Appliances,2019,,,,253.98,151.68,280.73,,-16.95,,,,,669.44,55.79
Appliances,2020,,124.29,,,1810,,,,,,,,1934.29,161.19
Appliances,2021,,,,,,,,2674.64,93.77,112.96,,45.19,2926.56,243.88
Appliances,2022,,,22.59,,,22.59,,,,13.02,,,58.2,4.85
Appliances Household,2015,168.37,,45,28.24,348.99,,,,,,,,590.6,49.22
Appliances Household,2016,,,,,,,,2239.5,,8,,,2247.5,187.29
Appliances Household,2017,,,,,,,192.08,,,36.58,9.03,,237.69,19.81
Appliances Household,2018,60.38,135.59,,,,283.34,,,101.76,,13.27,,594.34,49.53
Appliances Household,2021,,,,,,791,,,,,,,791,65.92
Appliances Household,2022,,,,,,,,,,,248.59,,248.59,20.72
Appliances Household,2023,,,,,,,113,,,,,,113,9.42
Appliances Household,2025,,,,,,,,,,36.14,-25,,11.14,0.93
Bank Charge,2015,0,0,0,170,,,0,0,0,,,,170,14.17
Bank Charge,2016,125.8,49.81,3,-16.41,1.5,,,4.5,6,7.5,6,-0.01,187.69,15.64
Bank Charge,2017,135.37,51.31,3,,,,,,1.5,,,,191.18,15.93
Bank Charge,2018,135.6,49.81,,,73.45,4,,11.5,,84,,,358.36,29.86
Bank Charge,2019,,52.81,3,,0.08,4.5,,,4.5,,,,64.89,5.41
Bank Charge,2020,,47.51,,,,,,,,,108.23,,155.74,12.98
Bank Charge,2021,,44.3,,,,,,,4.03,,,,48.33,4.03
Bank Charge,2022,-0.38,47.51,,3,3,,,,,,,,53.13,4.43
Bank Charge,2023,240.15,134.22,6.23,,18.01,14.86,0.95,,,,,,414.42,34.54
Bank Charge,2024,,44.3,,9.95,1.16,,,,,,,,55.41,4.62
Bank Charge,2025,,50.61,,,,,,,0.43,5.82,1.09,,57.95,4.83
Bank Charges,2015,21,21,6,21,21,6,6,21,120.04,17.95,141,6,407.99,34
Bank Charges,2015,675.75,565.07,535.24,629.65,553.33,553.33,839.65,199.88,,,,,4551.9,379.32
Bank Charges,2016,6,22.5,6,6,6,7.5,6,6,6,6,120,6,204,17
Bank Charges,2017,6,,,,,,,,,,6,,12,1
Bathroom,2015,,,,,,16.37,,,,,29.35,13.4,59.12,4.93
Bathroom,2016,4.5,23.3,,,57.05,,,,18.96,,,,103.81,8.65
Bathroom,2017,7.9,,,50.26,,,,,,7.64,16.79,,82.59,6.88
Bathroom,2018,,,,,,,,22.58,,,,,22.58,1.88
Bathroom,2019,,,,,,,,8.45,73.49,66.05,,,147.99,12.33
Bathroom,2020,,,,6.77,,,,,,5.86,52.86,,65.49,5.46
Bathroom,2021,,,33.3,,20.33,,,,,,,,53.63,4.47
Bathroom,2023,,4.51,,,,45.19,,97.99,73.43,38.01,59.05,16.3,334.48,27.87
Bathroom,2024,10,14.07,11.77,36.84,,,,,,,,,72.68,6.06
Books,2015,3.38,,,,,,,,,,,,3.38,0.28
Books,2016,,0.1,,,,,,,,,,,0.1,0.01
Books,2017,,,,,,,,,,,292.65,,292.65,24.39
Books,2018,,,,,83,,,,,,,,83,6.92
Books,2019,,,,,,10.97,,,,,,,10.97,0.91
Books,2025,,,,,,,96.04,150.89,-70,,,3.96,180.89,15.07
booze,2015,68.8,,,26.95,26.95,59.75,53.1,210.6,,,160.15,125.55,731.85,60.99
booze,2016,203,37.66,68.75,,83.85,18.95,56.51,33.05,71.8,93,,167.05,833.62,69.47
booze,2017,,,98.05,,56.3,36.77,133.05,92.05,33.44,13.95,,243.7,707.31,58.94
